Feature,Importance,CumSumImportance
PT_OppSideTopTradedVolume_1000000,0.037197858,0.037197858
LH_OppSidePulledVolume_1,0.0135444375,0.050742295
LS_ThisSideTotalOrders_0,0.013125155,0.06386745
PT_ThisSideTradedVolume_1,0.012361784,0.07622924
FFL_TotalBFlips_1000000,0.012253666,0.0884829
LH_ThisSideInsertedVolume_3,0.011835489,0.10031839
LSD_OppSideTotalVolume_0_1,0.011715674,0.11203406
LS_ThisSideTotalVolume_0,0.010857216,0.12289128
LS_OppSideTotalVolume_0,0.0106826285,0.1335739
LH_ThisSidePulledVolume_3,0.010541818,0.14411572
PT_ThisSideTopTradedVolume_1000,0.01011997,0.15423569
LH_OppSideInsertedVolume_4,0.009925184,0.16416088
PT_ThisSideTradedVolume_10000,0.00983287,0.17399375
LH_OppSidePulledVolume_4,0.00795395,0.18194771
LH_OppSideInsertedVolume_2,0.007702828,0.18965054
LHD_ThisSidePulledVolume_0_1,0.0076150787,0.19726561
LSD_OppSideTotalOrders_0_1,0.007612791,0.2048784
PT_ThisSideWapTrend_100,0.007524079,0.21240248
LSD_OppSideTotalVolume_1_1000000,0.007419838,0.21982232
LSD_ThisSideTotalOrders_1_1000000,0.0073596034,0.22718193
PT_OppSideTradedVolume_100000,0.0073123034,0.23449422
PT_OppSideTradedVolume_10,0.0070288368,0.24152306
LSD_OppSideTotalVolume_1_100000,0.0067168437,0.2482399
LSD_OppSideTotalVolume_0_1000000,0.0066387495,0.25487864
LORS_OppSideUniqueSum_0,0.006440339,0.26131898
PT_ThisSideTradedVolume_10,0.0063279294,0.2676469
PT_ThisSideTopTradedVolume_100000,0.006318831,0.27396575
PT_TradedPriceVar_0.2,0.0062371544,0.2802029
LSD_ThisSideTotalOrders_1_100000,0.0060906257,0.2862935
LS_OppSideLevelAge_0,0.0060422467,0.29233575
LSD_ThisSideTotalVolume_0_1000000,0.0059847552,0.2983205
LH_OppSidePulledVolume_2,0.005973963,0.30429447
LS_OppSideNewOrderAge_0,0.005893659,0.3101881
LSD_ThisSideTotalVolume_0_1,0.005882904,0.31607103
LS_OppSideTotalOrders_0,0.005511754,0.3215828
LH_OppSideInsertedVolume_1,0.0054483255,0.3270311
PT_OppSideTradedVolume_100,0.0054384507,0.33246955
PT_ThisSideTopTradedVolume_1000000,0.005355136,0.3378247
LS_ThisSideNewOrderAge_0,0.0053027025,0.3431274
LH_OppSideInsertedVolume_3,0.005193041,0.34832045
LHD_ThisSidePulledVolume_0_10,0.005162133,0.35348257
PT_TradedPriceVar_2500000,0.0050980723,0.35858065
LH_ThisSidePulledVolume_1,0.00503558,0.36361623
LHD_OppSidePulledVolume_1_1000000,0.0050256,0.36864182
LSD_OppSideTotalOrders_0_100,0.0050211884,0.373663
LSD_OppSideTotalOrders_1_100000,0.0050123124,0.3786753
PT_OppSideTradedVolume_1,0.0049803187,0.38365564
PT_OppSideFurthestPrice_1000000,0.0049770935,0.38863274
LH_OppSidePulledVolume_0,0.004935431,0.3935682
PT_ThisSideWapTrend_100000,0.004902563,0.39847076
LHD_ThisSideInsertedVolume_0_10,0.0048577315,0.40332848
PT_OppSideTopTradedVolume_100000,0.0048267455,0.40815523
PT_ThisSideWapTrend_1,0.0046919663,0.4128472
LSD_OppSideTotalOrders_1_1000000,0.0046883146,0.4175355
LSD_OppSideTotalVolume_0_100000,0.00467251,0.422208
LSD_OppSideTotalVolume_0_10,0.0046119546,0.42681998
LHD_OppSideInsertedVolume_0_10000,0.0045624715,0.43138245
PAV_OppSidePriceAt_50_1,0.004488576,0.43587103
LH_OppSideInsertedVolume_0,0.0044636247,0.44033465
LSD_ThisSideTotalVolume_0_100000,0.004332834,0.4446675
PAV_ThisSidePriceAt_10_1,0.004328078,0.44899556
LSD_ThisSideTotalVolume_1_10,0.0043149227,0.4533105
LHD_OppSideInsertedVolume_0_1000000,0.004253995,0.45756447
LHD_OppSideInsertedVolume_1_1000000,0.004246525,0.461811
PT_ThisSideTopTradedVolume_10,0.0041184723,0.46592948
PT_ThisSideWapTrend_1000000,0.0039737765,0.46990326
PT_ThisSideWapTrend_10,0.00385118,0.47375444
FFL_TotalFlips_10000,0.0038018862,0.47755632
LORS_OppSideUniqueCnt_0,0.0037904629,0.4813468
PT_ThisSideTradedVolume_100,0.0037469119,0.4850937
PAV_OppSidePriceAt_10_100000,0.0036985746,0.4887923
LH_ThisSideInsertedVolume_4,0.0036159097,0.49240822
PT_ThisSideFurthestPrice_1000000,0.0035734668,0.4959817
PT_ThisSideWapTrend_10000,0.0034906357,0.49947232
LSD_OppSideTotalVolume_1_10,0.0034677277,0.50294006
PAV_ThisSidePriceAt_10_10,0.0034572158,0.50639725
LH_ThisSideInsertedVolume_2,0.003407613,0.50980484
LH_ThisSidePulledVolume_4,0.003340253,0.5131451
LH_ThisSideMaxVolumeRatio_0,0.0033020196,0.5164471
LH_ThisSidePulledVolume_2,0.0032815107,0.51972866
LS_OppSideTotalVolume_1,0.0032531475,0.5229818
PT_ThisSideWapTrend_1000,0.0032378666,0.52621967
PAV_OppSidePriceAt_25_10,0.0032234378,0.5294431
PAV_OppSidePriceAt_100_10,0.0031964718,0.53263956
FFL_BFratio_1000000,0.0031728235,0.5358124
PAV_ThisSidePriceAt_25_1,0.0031683482,0.5389807
